simulator,sim_method,single_qubit_noise_prob,two_qubit_noise_prob,num_qubits,graph_density,p,problem_idx,expectation,elapsed_time,sample
pauli-y-noise,deterministic,0.005,0.005,5,0.5,4,2,-3.359375,68.20876860618591,0
pauli-z-noise,deterministic,0.02,0.02,5,0.5,4,2,-3.423828125,69.2157633304596,0
depolarizing-noise,deterministic,0.005,0.005,5,0.5,4,2,-3.68359375,77.89539003372192,0
pauli-x-noise,deterministic,0.025,0.025,5,0.5,4,2,-2.826171875,85.32218599319458,0
depolarizing-noise,deterministic,0.025,0.025,5,0.5,4,2,-3.23046875,81.30254578590393,0
pauli-z-noise,deterministic,0.0,0.0,5,0.5,5,2,-3.787109375,74.67399382591248,0
pauli-y-noise,deterministic,0.0,0.0,5,0.5,5,2,-3.748046875,79.47808337211609,0
pauli-x-noise,deterministic,0.0,0.0,5,0.5,5,2,-3.833984375,88.07805228233337,0
depolarizing-noise,deterministic,0.0,0.0,5,0.5,5,2,-3.716796875,87.51242780685425,0
pauli-y-noise,deterministic,0.025,0.025,5,0.5,5,2,-2.640625,80.41161298751831,0
depolarizing-noise,deterministic,0.02,0.02,5,0.5,5,2,-3.10546875,81.78307175636292,0
pauli-x-noise,deterministic,0.02,0.02,5,0.5,5,2,-2.90234375,88.09175896644592,0
pauli-y-noise,deterministic,0.02,0.02,5,0.5,5,2,-2.7109375,94.67864036560059,0
pauli-z-noise,deterministic,0.025,0.025,5,0.5,5,2,-3.33984375,90.68687224388123,0
pauli-z-noise,deterministic,0.02,0.02,5,0.5,5,2,-3.37109375,91.9821674823761,0
pauli-z-noise,deterministic,0.005,0.005,5,0.5,5,2,-3.6015625,105.9908037185669,0
pauli-z-noise,deterministic,0.015,0.015,5,0.5,5,2,-3.4296875,96.03193926811218,0
pauli-x-noise,deterministic,0.025,0.025,5,0.5,5,2,-2.69921875,84.90416717529297,0
depolarizing-noise,deterministic,0.015,0.015,5,0.5,5,2,-3.35546875,101.99234223365784,0
pauli-y-noise,deterministic,0.005,0.005,5,0.5,5,2,-3.306640625,100.90020108222961,0
depolarizing-noise,deterministic,0.025,0.025,5,0.5,5,2,-3.0625,88.31202483177185,0
depolarizing-noise,deterministic,0.005,0.005,5,0.5,5,2,-3.794921875,104.80444669723511,0
pauli-y-noise,deterministic,0.0,0.0,5,0.5,6,2,-3.69140625,84.54890775680542,0
pauli-z-noise,deterministic,0.0,0.0,5,0.5,6,2,-4.0,110.04378890991211,0
pauli-x-noise,deterministic,0.0,0.0,5,0.5,6,2,-3.95703125,102.66675472259521,0
pauli-y-noise,deterministic,0.025,0.025,5,0.5,6,2,-2.6328125,93.84896802902222,0
depolarizing-noise,deterministic,0.02,0.02,5,0.5,6,2,-3.0546875,94.12848114967346,0
depolarizing-noise,deterministic,0.0,0.0,5,0.5,6,2,-3.90234375,112.32344222068787,0
pauli-y-noise,deterministic,0.02,0.02,5,0.5,6,2,-2.7265625,100.75879526138306,0
pauli-z-noise,deterministic,0.025,0.025,5,0.5,6,2,-3.322265625,100.87754201889038,0
pauli-z-noise,deterministic,0.02,0.02,5,0.5,6,2,-3.390625,97.40515851974487,0
pauli-z-noise,deterministic,0.005,0.005,5,0.5,6,2,-3.578125,100.05364990234375,0
pauli-x-noise,deterministic,0.025,0.025,5,0.5,6,2,-2.642578125,97.77040266990662,0
pauli-z-noise,deterministic,0.015,0.015,5,0.5,6,2,-3.439453125,105.21528744697571,0
depolarizing-noise,deterministic,0.015,0.015,5,0.5,6,2,-3.359375,102.57065176963806,0
pauli-x-noise,deterministic,0.02,0.02,5,0.5,6,2,-3.224609375,125.0131402015686,0
pauli-y-noise,deterministic,0.005,0.005,5,0.5,6,2,-3.228515625,107.77717351913452,0
depolarizing-noise,deterministic,0.025,0.025,5,0.5,6,2,-3.033203125,104.15074133872986,0
depolarizing-noise,deterministic,0.005,0.005,5,0.5,6,2,-3.669921875,101.59376645088196,0
pauli-y-noise,deterministic,0.0,0.0,5,0.5,7,2,-3.7578125,110.09821653366089,0
pauli-z-noise,deterministic,0.0,0.0,5,0.5,7,2,-3.96875,102.46563220024109,0
pauli-x-noise,deterministic,0.0,0.0,5,0.5,7,2,-3.97265625,114.58081889152527,0
depolarizing-noise,deterministic,0.0,0.0,5,0.5,7,2,-3.951171875,107.90365028381348,0
pauli-y-noise,deterministic,0.025,0.025,5,0.5,7,2,-2.638671875,130.21189999580383,0
pauli-y-noise,deterministic,0.02,0.02,5,0.5,7,2,-2.6484375,108.47614765167236,0
depolarizing-noise,deterministic,0.02,0.02,5,0.5,7,2,-3.005859375,130.70438885688782,0
pauli-z-noise,deterministic,0.02,0.02,5,0.5,7,2,-3.419921875,118.83759260177612,0
pauli-z-noise,deterministic,0.015,0.015,5,0.5,7,2,-3.435546875,110.36377358436584,0
pauli-z-noise,deterministic,0.025,0.025,5,0.5,7,2,-3.3125,121.99955177307129,0
pauli-z-noise,deterministic,0.005,0.005,5,0.5,7,2,-3.673828125,118.24510908126831,0
pauli-x-noise,deterministic,0.025,0.025,5,0.5,7,2,-2.62109375,116.32036447525024,0
pauli-x-noise,deterministic,0.02,0.02,5,0.5,7,2,-2.90625,110.65386152267456,0
depolarizing-noise,deterministic,0.015,0.015,5,0.5,7,2,-3.20703125,115.92152047157288,0
pauli-y-noise,deterministic,0.005,0.005,5,0.5,7,2,-3.1328125,120.99025344848633,0
depolarizing-noise,deterministic,0.025,0.025,5,0.5,7,2,-2.921875,121.14939975738525,0
